"GEOID10","YEAR","GEO_ID","Census_Tract_Name","Total_Population","Total_Asian","Total_HispanicLatino","Total_Black","Total_White","Median_FAMILIES_Income","Total_Occupied_Housing_Units","Owner_occupied_housing_units","Renter_occupied_housing_units","Total_Families","Percent_Below_Poverty_Level_All_Families","Women_15_to_50_years","Women_15_to_50_years_with_poverty_status_determined","Women_15_to_50_yrs_below_100_percent_of_poverty_level","Women_16_to_50_years_LABOR_FORCE_STATUS","Women_16_to_50_years_LABOR_FORCE_STATUS_In_labor_force","Women_15_to_50_yrs_PUBLIC_ASSISTANCE_INCOME_IN_THE_PAST_12_MONTHS_Received_public_assistance_income","Women_with_births_in_the_past_12_months_Number_Women_15_to_50_years","Women_15_to_50_years_High_school_graduate_includes_equivalency","Women_15_to_50_years_Bachelors_degree","total_alaska","total_islander","total_other","new_pop","Prop_Asian","Prop_Hispanic_Latino","Prop_Black","Prop_White","Prop_Owner","Prop_Renter","Prop_women15to50","Prop_PovertyStatusDetermined_women15to50","Prop_Below100percPoverty_women15to50","Prop_ReceivedPublicAssistanceIncome_women15to50","Prop_InLaborForce_women16to50","Prop_BirthsInPast12Months_women15to50","Prop_HighschoolGrad_women15to50","Prop_BachelorsDegree_women15to50","violent","nonviolent","Total","violent_rate","nonviolent_rate","imm_dang","unsafe","violation"
"42101000100",2010,"1400000US42101000100","Census Tract 1, Philadelphia County, Pennsylvania",3478,121,174,200,2660,"130919",2033,843,1190,449,"10.2",1090,1090,84,1090,1068,0,0,23,588,0,0,45,3026,0.03998678,0.05750165,0.06609385,0.8790482,0.4146581,0.5853419,0.3602115,1,0.07706422,0,0.9798165,0,0.02110092,0.5394495,102,321,3042,3353.05719921104,10552.2682445759,NA,0,60
"42101000100",2011,"1400000US42101000100","Census Tract 1, Philadelphia County, Pennsylvania",3027,160,134,175,2610,"111645",2059,747,1312,435,"3.0",1223,1223,126,1223,1192,21,0,61,650,0,0,37,2982,0.05365526,0.04493628,0.05868545,0.8752515,0.3627975,0.6372025,0.4101274,1,0.1030253,0.01717089,0.9746525,0,0.04987735,0.53148,106,251,3027,3501.81698050875,8292.03832177073,NA,0,59
"42101000100",2012,"1400000US42101000100","Census Tract 1, Philadelphia County, Pennsylvania",3183,155,176,147,2773,"113750",2143,703,1440,479,"3.1",1351,1351,190,1351,1301,20,0,93,753,10,0,42,3127,0.04956828,0.05628398,0.04700991,0.8867925,0.3280448,0.6719552,0.4320435,1,0.1406366,0.01480385,0.9629904,0,0.0688379,0.5573649,98,256,3183,3078.85642475652,8042.72698711907,NA,0,117
"42101000100",2013,"1400000US42101000100","Census Tract 1, Philadelphia County, Pennsylvania",3478,229,127,331,2774,"102438",2139,692,1447,503,"0.0",1409,1409,149,1409,1339,15,40,101,771,5,0,17,3356,0.068236,0.03784267,0.09862932,0.8265793,0.3235157,0.6764843,0.4198451,1,0.1057488,0.01064585,0.9503194,0.02838893,0.07168204,0.5471966,82,239,3399,2412.47425713445,7031.47984701383,NA,0,121
"42101000100",2014,"1400000US42101000100","Census Tract 1, Philadelphia County, Pennsylvania",3527,303,188,369,2723,"109914",2187,641,1546,518,"0.0",1522,1522,213,1522,1454,0,25,85,929,3,0,62,3460,0.08757225,0.05433526,0.1066474,0.7869942,0.2930956,0.7069044,0.4398844,1,0.1399474,0,0.9553219,0.01642576,0.05584757,0.6103811,79,221,3527,2239.86390700312,6265.94839807202,NA,0,173
"42101000100",2015,"1400000US42101000100","Census Tract 1, Philadelphia County, Pennsylvania",3608,317,184,361,2807,"108676",2211,637,1574,554,"0.0",1611,1611,214,1611,1472,0,30,98,988,6,0,27,3518,0.09010802,0.05230244,0.1026151,0.7978965,0.2881049,0.7118951,0.4579306,1,0.1328367,0,0.9137182,0.01862197,0.06083178,0.6132837,101,233,3608,2799.33481152993,6457.87139689579,NA,0,119
"42101000100",2016,"1400000US42101000100","Census Tract 1, Philadelphia County, Pennsylvania",4012,358,224,500,3020,"120558",2305,744,1561,647,"1.7",1651,1651,208,1651,1508,0,35,96,1002,6,0,30,3914,0.09146653,0.05723045,0.1277466,0.7715892,0.3227766,0.6772234,0.4218191,1,0.1259843,0,0.9133858,0.02119927,0.05814658,0.6069049,105,250,4012,2617.14855433699,6231.30608175474,NA,0,113
"42101000100",2017,"1400000US42101000100","Census Tract 1, Philadelphia County, Pennsylvania",4155,492,265,550,2990,"122306",2367,713,1654,717,"1.7",1740,1740,178,1740,1604,0,57,102,961,0,0,33,4065,0.1210332,0.06519065,0.1353014,0.7355474,0.3012252,0.6987748,0.4280443,1,0.1022989,0,0.9218391,0.03275862,0.05862069,0.5522989,65,239,4155,1564.38026474128,5752.10589651023,NA,4,51
"42101000200",2010,"1400000US42101000200","Census Tract 2, Philadelphia County, Pennsylvania",2937,1519,18,30,358,"34868",1005,482,523,434,"2.1",431,431,9,431,343,13,38,115,130,0,0,0,1907,0.7965391,0.009438909,0.01573152,0.1877294,0.479602,0.520398,0.2260094,1,0.02088167,0.03016241,0.7958237,0.08816705,0.2668213,0.3016241,100,227,1919,5211.04742053153,11829.0776446066,NA,0,69
"42101000200",2011,"1400000US42101000200","Census Tract 2, Philadelphia County, Pennsylvania",1897,1443,16,23,406,"36105",901,418,483,389,"4.1",445,388,7,445,365,13,24,122,144,0,0,16,1888,0.7643008,0.008474576,0.0121822,0.2150424,0.463929,0.536071,0.2356992,0.8719101,0.01804124,0.02921348,0.8202247,0.05393258,0.2741573,0.3235955,85,166,1897,4480.75909330522,8750.65893516078,NA,0,56
"42101000200",2012,"1400000US42101000200","Census Tract 2, Philadelphia County, Pennsylvania",2009,1231,52,44,706,"38427",943,376,567,375,"5.1",559,506,62,559,495,12,14,72,131,0,0,19,2000,0.6155,0.026,0.022,0.353,0.3987275,0.6012725,0.2795,0.9051878,0.1225296,0.02146691,0.8855098,0.02504472,0.1288014,0.234347,94,162,2009,4678.94474863116,8063.71329019413,NA,0,89
