Country,Adult_males_2014,Adult_females_2014
Afghanistan,13.2 [8.6-18.9],20.2 [14.9-26.4]
Albania,58.4 [50.7-65.8],45.4 [37.8-52.8]
Algeria,51.5 [44.4-58.3],61.3 [54.8-67.4]
Andorra,69.7 [63.5-75.6],58.0 [50.6-65.2]
Angola,18.6 [11.9-26.4],34.6 [26.3-43.5]
Antigua and Barbuda,53.2 [43.7-62.6],65.8 [56.6-74.3]
Argentina,66.6 [60.0-72.8],59.6 [52.8-66.2]
Armenia,54.9 [46.1-63.2],53.2 [45.1-61.1]
Australia,69.6 [64.5-74.4],57.6 [52.2-63.0]
Austria,62.5 [55.7-69.0],47.3 [40.6-53.8]
Azerbaijan,55.1 [46.7-63.6],57.2 [49.1-65.3]
Bahamas,60.9 [53.5-68.1],67.1 [60.0-73.5]
Bahrain,64.6 [58.3-70.5],69.4 [63.5-75.1]
Bangladesh,14.1 [10.1-19.3],20.4 [15.8-25.8]
Barbados,51.3 [42.7-59.8],62.8 [54.7-70.6]
Belarus,60.9 [53.5-67.9],53.1 [45.5-60.8]
Belgium,66.9 [61.1-72.1],50.5 [44.2-56.6]
Belize,46.3 [38.5-54.3],59.0 [51.5-66.5]
Benin,16.8 [12.2-22.5],35.2 [29.4-41.2]
Bhutan,21.9 [16.3-28.8],28.5 [22.3-35.2]
Bolivia (Plurinational State of),49.0 [40.8-57.4],57.3 [49.7-64.7]
Bosnia and Herzegovina,54.9 [47.6-62.4],44.1 [36.9-51.2]
Botswana,30.8 [23.6-38.6],55.4 [47.3-62.9]
Brazil,55.2 [48.7-61.5],53.0 [46.9-59.3]
Brunei Darussalam,44.8 [35.2-54.6],44.1 [35.4-53.2]
Bulgaria,63.5 [56.3-70.4],49.8 [41.9-57.4]
Burkina Faso,15.0 [10.5-20.0],27.8 [22.2-33.7]
Burundi,8.6 [5.3-13.1],23.4 [17.6-29.8]
C̫te d'Ivoire,22.4 [16.8-28.5],37.4 [31.3-43.8]
Cabo Verde,29.1 [22.4-36.7],40.7 [33.7-47.9]
Cambodia,12.4 [8.4-17.2],20.8 [15.9-26.1]
Cameroon,21.7 [16.0-28.1],40.3 [34.2-46.5]
Canada,69.0 [63.4-74.1],59.9 [54.0-65.4]
Central African Republic,12.7 [7.6-18.7],26.7 [19.8-34.4]
Chad,14.6 [10.1-20.1],30.6 [24.2-37.2]
Chile,64.7 [58.3-70.7],63.1 [56.5-69.4]
China,38.7 [33.0-44.4],33.1 [27.4-39.2]
Colombia,54.2 [47.4-60.8],58.0 [51.6-64.2]
Comoros,14.9 [10.4-20.1],32.7 [26.6-39.0]
Congo,22.2 [15.2-30.9],36.7 [29.4-44.6]
Cook Islands,81.0 [75.4-86.0],84.2 [79.2-88.4]
Costa Rica,58.4 [51.7-65.0],61.5 [54.9-67.7]
Croatia,64.0 [56.9-70.9],48.7 [40.9-56.4]
Cuba,51.9 [44.5-59.4],61.4 [54.0-68.2]
Cyprus,64.2 [57.0-70.9],55.4 [47.5-62.8]
Czechia,69.2 [62.8-75.4],52.1 [44.7-59.4]
Democratic People's Republic of Korea,18.9 [11.5-28.4],22.1 [14.5-30.5]
Democratic Republic of the Congo,13.7 [7.9-20.4],27.7 [21.0-35.2]
Denmark,64.7 [58.5-70.4],46.7 [40.3-53.2]
Djibouti,24.8 [17.0-33.6],35.1 [26.4-44.1]
Dominica,50.9 [43.1-58.7],61.3 [54.0-68.1]
Dominican Republic,49.4 [41.5-57.2],59.0 [51.9-65.9]
Ecuador,52.5 [44.3-60.6],58.1 [50.8-65.5]
Egypt,55.5 [48.6-62.0],70.2 [64.6-75.3]
El Salvador,52.2 [44.7-59.5],59.8 [53.1-66.3]
Equatorial Guinea,28.0 [17.8-39.5],44.6 [33.9-55.5]
Eritrea,11.9 [7.9-16.5],25.3 [19.6-31.8]
Estonia,60.7 [54.5-66.7],49.2 [43.0-55.8]
Ethiopia,10.3 [6.8-14.5],24.2 [18.5-30.2]
Fiji,59.0 [50.7-67.4],67.5 [59.5-74.8]
Finland,62.0 [56.2-67.5],48.6 [42.7-54.2]
France,66.9 [60.6-72.8],51.5 [44.5-58.3]
