Country,Country.Code,Birthrate,Average.yearly.temperature_1961to1990_Celsius,GDP_2016,PM2pt5CountryAvg,Adult_males_2014_BMI,Adult_females_2014_BMI
Afghanistan,AFG,38.3,12.6,561.7787463,43.49326634,13.2,20.2
Albania,ALB,13.1,11.4,4146.89625,15.06612414,58.4,45.4
Algeria,DZA,23,22.5,3843.752322,91.3449307,51.5,61.3
Andorra,AND,7.8,7.6,NA,10.05229632,69.7,58
Angola,AGO,38.6,21.55,3110.808183,22.10998333,18.6,34.6
Antigua,ATG,15.8,26,14353.37881,12.73787814,53.2,65.8
Argentina,ARG,17,14.8,12449.21685,11.35178557,66.6,59.6
Armenia,ARM,13.3,7.15,3606.152057,18.22474266,54.9,53.2
Australia,AUS,12.1,21.65,49927.81951,7.441100166,69.6,57.6
Austria,AUT,9.5,6.35,44176.51522,14.52467321,62.5,47.3
Azerbaijan,AZE,16.2,11.95,3876.936433,22.44259536,55.1,57.2
Bahamas,BHS,15.4,24.85,23124.38655,12.58044407,60.9,67.1
Bahrain,BHR,13.5,27.15,22354.16707,59.21182349,64.6,69.4
Bangladesh,BGD,19,25,1358.779752,79.3180368,14.1,20.4
Barbados,BRB,11.8,26,16096.89259,13.96522052,51.3,62.8
Belarus,BLR,10.5,6.15,4989.254611,16.44028248,60.9,53.1
Belgium,BEL,11.4,9.55,41096.1573,14.48040058,66.9,50.5
Belize,BLZ,24.3,25.3,4810.565902,22.49606011,46.3,59
Benin,BEN,35.5,27.55,789.4404107,34.70879169,16.8,35.2
Bhutan,BTN,17.5,7.4,2804.000223,35.4577235,21.9,28.5
Bolivia,BOL,22.4,21.55,3104.956089,24.66769419,49,57.3
Bosnia and Herzegovina,BIH,8.8,9.85,4708.718261,37.28192085,54.9,44.1
Botswana,BWA,20.7,21.5,6788.042745,13.37106103,30.8,55.4
Brazil,BRA,14.3,24.95,8649.948492,11.0677143,55.2,53
Brunei,BRN,17.2,26.85,26938.50338,6.641890462,44.8,44.1
Bulgaria,BGR,8.8,10.55,7350.795801,25.39402489,63.5,49.8
Burkina Faso,BFA,41.6,28.25,649.7304837,37.15596631,15,27.8
Myanmar,MMR,18.2,13.05,1275.017608,47.87796539,14.6,23.3
Burundi,BDI,41.7,19.8,285.7274421,35.6876997,8.6,23.4
Cape Verde,CPV,20.2,23.3,2997.75268,40.15014622,29.1,40.7
Cambodia,KHM,23.4,26.8,1269.907238,21.86492334,12.4,20.8
Cameroon,CMR,35.8,24.6,1032.648722,54.96712133,21.7,40.3
Canada,CAN,10.3,-5.35,42157.92799,4.568703079,69,59.9
Central African Republic,CAF,34.7,24.9,382.2131743,30.32537748,12.7,26.7
Chad,TCD,36.1,26.55,664.2956519,57.03193732,14.6,30.6
Chile,CHL,13.7,8.45,13792.92605,13.25774559,64.7,63.1
China,CHN,12.4,6.95,8123.180873,39.0540606,38.7,33.1
Colombia,COL,16.3,24.5,5805.605335,14.64776065,54.2,58
Comoros,COM,26.9,25.55,775.0800847,15.74571086,14.9,32.7
Democratic Republic of the Congo,COD,34.2,24,444.5053168,32.10205789,13.7,27.7
Republic of Congo,COG,35.1,24.55,1528.24483,31.13621767,22.2,36.7
Costa Rica,CRI,15.7,24.8,11824.6381,16.04083958,58.4,61.5
Ivory Coast,CIV,28.2,26.35,1526.197175,24.16182701,22.4,37.4
Croatia,HRV,9,10.9,12090.66656,18.3448393,64,48.7
