Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
RP,Pesticides Use,4,Algeria,5161,Use,1357,Pesticides,2014,2014,tonnes of active ingredients,21999,A,"Aggregate, may include official, semi-official, estimated or calculated data"
RP,Pesticides Use,4,Algeria,5161,Use,1309,Insecticides,2014,2014,tonnes of active ingredients,1230,Q,Official data reported on FAO Questionnaires from countries
RP,Pesticides Use,4,Algeria,5161,Use,1320,Herbicides,2014,2014,tonnes of active ingredients,830,Q,Official data reported on FAO Questionnaires from countries
RP,Pesticides Use,4,Algeria,5161,Use,1331,Fungicides&Bactericides,2014,2014,tonnes of active ingredients,2005,Q,Official data reported on FAO Questionnaires from countries
RP,Pesticides Use,4,Algeria,5161,Use,1356,Plant Growth Regulators,2014,2014,tonnes of active ingredients,17934,Q,Official data reported on FAO Questionnaires from countries
RP,Pesticides Use,9,Argentina,5161,Use,1357,Pesticides,2014,2014,tonnes of active ingredients,207706,A,"Aggregate, may include official, semi-official, estimated or calculated data"
RP,Pesticides Use,9,Argentina,5161,Use,1309,Insecticides,2014,2014,tonnes of active ingredients,7919.3,Q,Official data reported on FAO Questionnaires from countries
RP,Pesticides Use,9,Argentina,5161,Use,1354,Mineral Oils,2014,2014,tonnes of active ingredients,1490.3,Q,Official data reported on FAO Questionnaires from countries
RP,Pesticides Use,9,Argentina,5161,Use,1320,Herbicides,2014,2014,tonnes of active ingredients,194257.3,Q,Official data reported on FAO Questionnaires from countries
RP,Pesticides Use,9,Argentina,5161,Use,1331,Fungicides&Bactericides,2014,2014,tonnes of active ingredients,3955.7,Q,Official data reported on FAO Questionnaires from countries
RP,Pesticides Use,9,Argentina,5161,Use,1356,Plant Growth Regulators,2014,2014,tonnes of active ingredients,33,Q,Official data reported on FAO Questionnaires from countries
RP,Pesticides Use,11,Austria,5161,Use,1357,Pesticides,2014,2014,tonnes of active ingredients,3380.7,A,"Aggregate, may include official, semi-official, estimated or calculated data"
RP,Pesticides Use,11,Austria,5161,Use,1309,Insecticides,2014,2014,tonnes of active ingredients,266.9,Q,Official data reported on FAO Questionnaires from countries
RP,Pesticides Use,11,Austria,5161,Use,1354,Mineral Oils,2014,2014,tonnes of active ingredients,17.7,Q,Official data reported on FAO Questionnaires from countries
RP,Pesticides Use,11,Austria,5161,Use,1320,Herbicides,2014,2014,tonnes of active ingredients,1375.8,Q,Official data reported on FAO Questionnaires from countries
RP,Pesticides Use,11,Austria,5161,Use,1331,Fungicides&Bactericides,2014,2014,tonnes of active ingredients,1645.2,Q,Official data reported on FAO Questionnaires from countries
RP,Pesticides Use,11,Austria,5161,Use,1356,Plant Growth Regulators,2014,2014,tonnes of active ingredients,53.5,Q,Official data reported on FAO Questionnaires from countries
RP,Pesticides Use,11,Austria,5161,Use,1359,Other Pesticides nes,2014,2014,tonnes of active ingredients,21.2,Q,Official data reported on FAO Questionnaires from countries
RP,Pesticides Use,52,Azerbaijan,5161,Use,1357,Pesticides,2014,2014,tonnes of active ingredients,531.84,A,"Aggregate, may include official, semi-official, estimated or calculated data"
