Country,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,24271.94042,25324.72036,,,,,
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,553.3002894,603.5370231,669.0090509,631.7449706,612.0696514,584.0259021,561.7787463
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,3529.053482,4299.012889,4598.249988,4804.616884,4709.312024,3695.793748,3110.808183
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,4094.358832,4437.178068,4247.614308,4414.72314,4575.763787,3954.022783,4146.89625
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,39627.66352,40919.18328,38167.09575,40215.43532,,,
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,5916.329624,6856.593678,7341.239892,7435.889121,7446.369661,6430.071957,6153.069547
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,35049.14832,40462.31209,42112.23565,43350.64268,44449.74035,39101.74689,37622.20746
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,10276.2605,12726.90836,12969.70712,12976.63642,12245.25645,13467.10236,12449.21685
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,3218.381655,3526.978143,3684.80481,3843.591213,3994.712355,3609.654776,3606.152057
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,10352.82276,10375.99422,11660.32953,11553.69121,11508.55927,11541.85498,
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,12126.87614,11929.34991,12565.44197,12224.86416,12888.29667,13566.90541,14353.37881
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,51874.08048,62245.10029,67677.63477,67792.30386,62214.60912,56554.03876,49927.81951
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,46657.0629,51126.74139,48333.57273,50504.71532,51322.63997,43665.00947,44176.51522
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,5842.805784,7189.691229,7496.335728,7875.756953,7891.299776,5500.310382,3876.936433
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,231.1943256,260.4799073,265.2856051,282.7555252,312.7489794,303.6810223,285.7274421
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,44380.23741,47702.77415,44740.5717,46510.38647,47439.39684,40356.875,41096.1573
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,757.6959074,825.9427854,837.9505001,915.2674586,943.686575,783.947091,789.4404107
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,575.4464527,666.8402783,673.8227,699.0452847,705.1464113,615.592225,649.7304837
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,757.6717572,835.7893401,856.342857,951.8894535,1084.56543,1210.15812,1358.779752
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,6843.263289,7813.803499,7378.025539,7674.860559,7853.335191,6993.47736,7350.795801
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,20722.10389,22810.10242,23649.36661,25010.18329,24983.37902,22688.87824,22354.16707
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,21921.55906,21523.97372,22575.59019,22590.39338,22550.23301,22888.13405,23124.38655
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,4611.470298,5050.156834,4716.673325,5035.86555,5193.904932,4574.090787,4708.718261
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,6030.388707,6519.710753,6940.243915,7978.825443,8318.429294,5949.110677,4989.254611
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,4344.150177,4516.24675,4673.63848,4688.538443,4852.223666,4849.997495,4810.565902
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,88207.32756,85973.15842,85458.45551,85748.06541,,,
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,1981.160705,2377.675918,2645.227753,2947.938526,3124.00031,3077.026199,3104.956089
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,11224.15408,13167.47289,12291.46685,12216.90446,12026.61731,8757.206202,8649.948492
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,15905.91232,15534.15704,15384.8749,15472.7814,15359.66971,15557.83081,16096.89259
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,35268.10117,47017.0273,47651.25909,44597.27968,41590.86502,30967.89051,26938.50338
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,2178.921383,2458.045976,2422.008016,2350.882889,2522.796008,2613.645177,2804.000223
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,6346.156204,7645.214609,7029.231453,7007.625783,7497.762376,6532.060501,6788.042745
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,446.4434494,494.3306779,486.410114,337.4849614,377.1320274,348.381417,382.2131743
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,47447.47602,52082.21076,52496.69487,52413.72116,50440.43376,43315.70044,42157.92799
Central Europe and the Baltics,CEB,GDP per capita (current US$),NY.GDP.PCAP.CD,12556.93917,13882.73542,12996.3408,13704.56665,14125.86185,12411.07162,12657.3868
Switzerland,CHE,GDP per capita (current US$),NY.GDP.PCAP.CD,74276.71842,87998.44468,83164.38795,84658.88768,85814.58857,80989.84024,78812.65069
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,12860.17764,14705.69242,15431.90293,15941.39722,14817.37778,13653.2264,13792.92605
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,4560.512487,5633.796106,6337.882993,7077.770594,7683.502038,8069.211938,8123.180873
