omop_cdm_code,"icd9_code","snomed_ct_code"
436651,"201.90","93528000"
28060,"034.0","43878008"
255848,"486","233604007"
440015,"E934.0","293354007"
441408,"787.03","422400008"
29735,"112.0","79740000"
78563,"761.7","30409006"
135030,"709.09","3253007"
137626,"690.11","156329007"
201958,"778.8","111474003"
257011,"465.9","54398005"
318800,"530.81","235595009"
432250,"V29.0","40733004"
433027,"760.0","268794002"
440519,"765.18","206169007"
442067,"691.8","200769008"
443415,"765.28","313180007"
4062503,"V82.3","171241003"
4171115,"V21.30","276610007"
443949,"799.9","3219008"
78232,"719.41","267949000"
315078,"785.1","80313002"
320128,"401.9","59621000"
380055,"191.9","93727008"
434293,"157.1","93715005"
436919,"199.1","109356001"
4292726,"V01.79","37757003"
74469,"764.07","189445003"
73008,"726.90","23680005"
77670,"786.50","29857009"
134736,"724.5","161891005"
139188,"873.0","60076001"
372765,"873.8","40883004"
375415,"959.01","82271004"
433753,"305.00","15167005"
436033,"097.9","76272004"
440005,"999.9","35688006"
440279,"E849.8","55566008"
442068,"682.3","200670004"
72434,"778.6","82062003"
74468,"756.3","123572006"
134760,"770.83","38593000"
196217,"756.6","88386004"
318247,"770.82","13094009"
320835,"745.2","86299006"
321683,"770.6","7550008"
434467,"745.5","204315000"
434742,"756.0","268239009"
437655,"752.51","204878001"
443522,"779.81","413341007"
436219,"760.2","206005002"
4094126,"V61.8","248539004"
434462,"745.4","30288003"
441682,"762.5","86629005"
77310,"451.19","266267005"
78097,"198.5","94222008"
81902,"599.0","68566005"
135888,"707.0","400192002"
137829,"284.8","306058006"
196360,"188.9","93689003"
201240,"198.82","94298004"
201927,"682.6","267782008"
254662,"415.19","64662007"
318775,"V12.51","234049002"
432851,"198.89","128462008"
433656,"E878.8","102476007"
434822,"996.79","69260008"
437027,"535.61","95531001"
437833,"276.8","43339004"
439777,"285.9","271737000"
444070,"785.0","3424008"
444247,"453.8","111293003"
4101431,"275.4","190874007"
260139,"466.0","10509002"
432285,"296.30","268621008"
439727,"042","86406008"
440383,"311","35489007"
4154309,"296.34","28475009"
4298854,"V08","402916007"
76521,"763.1","5984000"
138821,"706.3","86708008"
435656,"774.6","387712008"
440532,"766.1","7293009"
440840,"771.7","414821002"
444093,"V49.89","118223001"
25297,"462","363746003"
437663,"780.60","386661006"
4219847,"V29.3","41769001"
74469,"764.00","189445003"
74469,"764.08","189445003"
80204,"764.90","22033007"
80205,"779.89","41168002"
132397,"685.1","76545008"
140214,"782.1","271807003"
196523,"787.91","62315008"
200164,"691.0","91487003"
256440,"478.19","7393007"
259848,"472.0","86094006"
317009,"493.90","195967001"
372328,"382.9","65363002"
374375,"380.4","18070006"
378544,"767.0","206188000"
379019,"372.30","9826008"
432526,"V04.81","185903001"
436519,"772.11","70611002"
436812,"750.0","67787004"
436882,"E884.4","20902002"
440029,"079.99","34014006"
440814,"723.5","70070008"
443865,"558.9","14066009"
444098,"765.29","46230007"
4107655,"V62.9","284465006"
315069,"746.86","46619002"
320744,"426.0","27885002"
434744,"760.8","206002004"
439924,"775.9","22561006"
437369,"766.21","16207008"
24818,"959.09","90460009"
73923,"923.03","85636003"
433675,"E980.9","37844000"
433911,"921.1","416179002"
435991,"E917.9","217082002"
436289,"989.9","78814009"
133280,"704.00","56317004"
134438,"692.9","40275004"
433736,"278.00","414916001"
76835,"832.00","2651006"
137977,"782.4","18165001"
436583,"E888.9","1912002"
440279,"E849.6","55566008"
437090,"773.1","32858009"
4192676,"V31.01","394699000"
137053,"690.18","50563003"
376707,"372.00","53726008"
380038,"077.99","45261009"
