Country	Birthrate
Niger	44.8
Mali	44.4
Uganda	43.4
Zambia	41.8
Burundi	41.7
Burkina Faso	41.6
Malawi	41.3
Somalia	40
Angola	38.6
Mozambique	38.3
Afghanistan	38.3
Nigeria	37.3
Ethiopia	36.9
Sierra Leone	36.7
South Sudan	36.2
Chad	36.1
Tanzania	36
Cameroon	35.8
Benin	35.5
Guinea	35.4
"Congo, Republic of the"	35.1
Central African Republic	34.7
Gabon	34.3
"Congo, Democratic Republic of the"	34.2
Senegal	34
Liberia	33.9
Timor-Leste	33.8
Togo	33.7
Sao Tome and Principe	33.3
Rwanda	33.3
Guinea-Bissau	32.9
Equatorial Guinea	32.8
Gaza Strip	32.3
Madagascar	32.1
Zimbabwe	31.9
Iraq	30.9
Mauritania	30.9
Ghana	30.8
Egypt	30.3
Eritrea	30.1
"Gambia, The"	30.1
Western Sahara	29.8
Yemen	29.2
Sudan	28.5
Cote d'Ivoire	28.2
Namibia	27.9
Comoros	26.9
West Bank	26.7
Jordan	25.5
Solomon Islands	25.3
Kenya	25.1
Lesotho	25.1
Marshall Islands	25
Vanuatu	24.5
Guatemala	24.5
Nauru	24.4
Oman	24.3
Swaziland	24.3
Belize	24.3
Papua New Guinea	24
Philippines	24
Laos	23.9
Tajikistan	23.8
Tuvalu	23.8
Djibouti	23.6
Cambodia	23.4
Haiti	23.3
Algeria	23
American Samoa	22.9
Honduras	22.8
Tonga	22.6
Kyrgyzstan	22.6
Bolivia	22.4
Pakistan	22.3
Syria	21.7
Kiribati	21.3
Botswana	20.7
Samoa	20.6
South Africa	20.5
"Micronesia, Federated States of"	20.3
Cabo Verde	20.2
Nepal	19.9
Kuwait	19.6
Mongolia	19.6
Malaysia	19.4
India	19.3
Turkmenistan	19.3
Venezuela	19.2
Bangladesh	19
Fiji	19
Kazakhstan	18.7
Dominican Republic	18.6
Mexico	18.5
Saudi Arabia	18.4
Israel	18.3
Burma	18.2
Ecuador	18.2
Panama	18.1
Jamaica	18
Morocco	18
Peru	18
Nicaragua	17.9
Iran	17.8
Libya	17.8
Bhutan	17.5
Brunei	17.2
Northern Mariana Islands	17.2
Argentina	17
Uzbekistan	16.9
Guam	16.7
Paraguay	16.5
Tunisia	16.4
Indonesia	16.4
Colombia	16.3
El Salvador	16.3
Azerbaijan	16.2
Turkey	16
Suriname	16
Maldives	16
Antigua and Barbuda	15.8
Grenada	15.8
Costa Rica	15.7
Turks and Caicos Islands	15.7
Vietnam	15.7
Guyana	15.5
Sri Lanka	15.5
"Bahamas, The"	15.4
United Arab Emirates	15.3
New Caledonia	15.2
Dominica	15.2
French Polynesia	15
"Korea, North"	14.6
Ireland	14.5
Lebanon	14.4
Greenland	14.4
Brazil	14.3
Cook Islands	14.1
Gibraltar	14.1
Faroe Islands	14
Seychelles	13.9
Curacao	13.8
Iceland	13.8
Chile	13.7
Bahrain	13.5
Saint Lucia	13.5
Saint Vincent and the Grenadines	13.4
Saint Kitts and Nevis	13.3
New Zealand	13.3
Wallis and Futuna	13.3
Armenia	13.3
Mauritius	13.1
Trinidad and Tobago	13.1
Albania	13.1
Sint Maarten	13.1
Uruguay	13
Anguilla	12.7
Aruba	12.5
Georgia	12.5
United States	12.5
China	12.4
France	12.3
Norway	12.2
Australia	12.1
Jersey	12.1
United Kingdom	12.1
Cayman Islands	12.1
Sweden	12
Barbados	11.8
Moldova	11.8
Macedonia	11.5
Belgium	11.4
Luxembourg	11.4
Cyprus	11.4
Russia	11.3
Bermuda	11.3
Palau	11.2
Thailand	11.1
British Virgin Islands	11
Isle of Man	11
Montserrat	11
Netherlands	10.9
Falkland Islands (Islas Malvinas)	10.9
Cuba	10.8
Puerto Rico	10.8
Finland	10.7
Ukraine	10.5
Belarus	10.5
Switzerland	10.5
Liechtenstein	10.4
Denmark	10.4
Estonia	10.3
Canada	10.3
Montenegro	10.2
Virgin Islands	10.2
Malta	10.1
Lithuania	10
Latvia	9.9
Slovakia	9.8
Guernsey	9.8
"Saint Helena, Ascension, and Tristan da Cunha"	9.7
Qatar	9.7
Poland	9.6
Czechia	9.5
Austria	9.5
Spain	9.4
Hong Kong	9.1
Hungary	9.1
Portugal	9.1
Romania	9
Croatia	9
Serbia	9
Bulgaria	8.8
Bosnia and Herzegovina	8.8
Macau	8.8
Italy	8.7
San Marino	8.6
Germany	8.5
Greece	8.5
Taiwan	8.4
"Korea, South"	8.4
Singapore	8.4
Slovenia	8.3
Andorra	7.8
Japan	7.8
Saint Pierre and Miquelon	7.2
Monaco	6.6
